merchant_name,merchant_area,category,display,product,price,discount_price,isDiscount,description
"369 Shanghai, Jemursari",surabaya,Chinese,BEST DEAL,Bestdeal Noodle,108000,,0,Song mie/ Mie Zha jiang +Xiaolongbao/Guo tie small+ Air mineral
"369 Shanghai, Jemursari",surabaya,Chinese,BEST DEAL,Bestdeal Sup,129599,,0,Sup shanghai +Xiao long bao/ guo tie small +  air mineral
"369 Shanghai, Jemursari",surabaya,Chinese,BEST DEAL,Bestdeal rice,116400,,0,Nasi goreng 369/ Nasi grg smoked ham + Xiao long bao/ guo tie small + air mineral
"369 Shanghai, Jemursari",surabaya,Chinese,Dumpling,Siomay Ayam Rebus / Goreng,36000,,0,4 pcs
"369 Shanghai, Jemursari",surabaya,Chinese,Dumpling,Siomay Babi Rebus/ Goreng,36000,,0,4 pcs
"369 Shanghai, Jemursari",surabaya,Chinese,Dumpling,Xiao Long Bao 'Pork',69599,,0,8 pcs
"369 Shanghai, Jemursari",surabaya,Chinese,Dumpling,Guo Tie 'Pork',69599,,0,8 pcs
"369 Shanghai, Jemursari",surabaya,Chinese,Sandwich,Sandwich Tiongkok,43200,,0,
"369 Shanghai, Jemursari",surabaya,Chinese,Soup,Sup Shanghai,84000,,0,
"369 Shanghai, Jemursari",surabaya,Chinese,Soup,Tim Obat Ayam Hitam,145200,,0,
AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Rice,Beef And Mushroom,56800,,0,"Rice, Beef Patty, Mushrooms, Chilli, Coconut Milk, Garlic"
AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Rice,Shirataki Spicy Abon Cakalang,60800,,0,
AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Americano,34400,,0,Double Ristretto
AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Coffee Latte,42300,,0,"Double Ristretto, Fresh Milk, Milk Foam"
AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Creme Brulee,47600,,0,"Double Ristretto, Steamed Fresh Milk, Milk Foam, Syrup, Torched"
AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Capuccino,42300,,0,"Double Ristretto, Steamed Fresh Milk, Milk Foam"
AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Flavored Latte,46200,,0,"Double Ristretto, Steamed Fresh Milk, Milk Foam, Your Choice Of Syrup"
AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Black Jasmine,46200,,0,Black Coffee With Jasmine And Lemon Syrup
AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Ultra Violet,50000,,0,"double shot espresso, cream, lavender, rhum"
AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Stargazing,50000,,0,"double shot espresso, lavender, raspberry, lemon, yakult"
"Aiciro, BG Junction",surabaya,Jajanan/Ayam & bebek/Minuman,Food,Chicken Fillet,24500,,0,"Pilihan Rasa: Original, Chili, Barbeque // Level: 1,2,3,4,5"
"Aiciro, BG Junction",surabaya,Jajanan/Ayam & bebek/Minuman,Food,Kentang,19500,,0,"Pilihan Rasa: Original, Chili, Barbeque // Level: 1,2,3,4,5"
"Aiciro, BG Junction",surabaya,Jajanan/Ayam & bebek/Minuman,Food,Siomay,22500,,0,"Pilihan Rasa: Original, Chili, Barbeque // Level: 1,2,3,4,5"
"Aiciro, BG Junction",surabaya,Jajanan/Ayam & bebek/Minuman,Food,Nugget,22500,,0,"Pilihan Rasa: Original, Chili, Barbeque // Level: 1,2,3,4,5"
"Aiciro, BG Junction",surabaya,Jajanan/Ayam & bebek/Minuman,Food,Chicken Skin,21500,,0,"Pilihan Rasa: Original, Chili, Barbeque // Level: 1,2,3,4,5"
"Aiciro, BG Junction",surabaya,Jajanan/Ayam & bebek/Minuman,Food,Fish Skin,22500,,0,"Pilihan Rasa: Original, Chili, Barbeque // Level: 1,2,3,4,5"
"Aiciro, BG Junction",surabaya,Jajanan/Ayam & bebek/Minuman,Food,Bakso,22500,,0,"Pilihan Rasa: Original, Chili, Barbeque // Level: 1,2,3,4,5"
"Aiciro, BG Junction",surabaya,Jajanan/Ayam & bebek/Minuman,Food,Sosis Ayam,20000,,0,
"Aiciro, BG Junction",surabaya,Jajanan/Ayam & bebek/Minuman,Food,Ayam Pop,25500,,0,
"Aiciro, BG Junction",surabaya,Jajanan/Ayam & bebek/Minuman,Food,Tahu walik,22500,,0,
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany P&W,Original,32500,,0,Original Pancake/Waffle
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany P&W,Strawberry Cheese,32500,,0,Strawberry Cheese Pancake/Waffle
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany P&W,Bluberry Cheese,32500,,0,Bluberry Cheese Pancake/Waffle
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany P&W,Strawberry,35000,,0,Strawberry Pancake/waffle
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany P&W,Oreo Cream,36000,,0,Oreo Cream Pancake/waffle
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany P&W,Chocomaltine,37500,,0,Chocomaltine Pancake/waffle
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany P&W,Banana Nutella,39000,,0,Banana Nutella Pancake/waffle
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany P&W,Caramel Banana Cream,35000,,0,Caramel Banana Raisin Pancake/waffle
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany P&W,Mango Peach,39000,,0,Mango Peach Banana Nutella Pancake/waffle
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany P&W,Superchoco,41500,,0,Superchoco Pancake/waffle
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany P&W,Bluberry Roll,41500,,0,Bluberry Roll Pancake/waffle
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany P&W,Strawberry Roll,41500,,0,Strawberry Roll Pancake/waffle
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany P&W,Lotus Crumble,41500,,0,Lotus Crumble Pancake/waffle
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany P&W,Pancake Tower,113000,,0,8 Pancake Dengan Saus Komplit
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany P&W,French Fries,29500,,0,Kentang Goreng
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany P&W,Potato Wedges,35000,,0,Kentang Goreng Wedges
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany P&W,Ice Cream 2 Scoop,26000,,0,Ice Cream Chocolate Dan Vanilla
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany Kitchen,Spaghetti Bolognesse,39000,,0,Pasta Spaghetti/Fettucini Dengan Saus Bolognesse
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany Kitchen,Spaghetti Aglio-Olio,39000,,0,Pasta Spaghetti/Fettucini Dengan Saus Aglio-Olio Pedas
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany Kitchen,Spaghetti Carbonara,39000,,0,Pasta Spaghetti/Fettucini Dengan Saus Carbonara
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany Kitchen,Spaghetti Chicken Pesto,39000,,0,Pasta Spaghetti/Fettucini  Dimasak Dengan Bumbu Paesto Dan  Ayam
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany Kitchen,Spaghetti Beef Blackpepper,42500,,0,Pasta Spaghetti/Fettucini Dengan Topping Daging Sapi Dan Saus Lada Hitam
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany Kitchen,Piccadilly Penne And Cheese,39000,,0,"Pasta Penne Dengan Saus Creame,Jamur Dan Daging Asap"
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany Kitchen,Heddon Chicken Penne,42500,,0,
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany Kitchen,Crazy Rice,36000,,0,Nasi Gila Dicampur Telur Dan Bakso
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany Kitchen,Crazy Fried Rice,36000,,0,Nasi Goreng Dicsmpur Telur Dan Bakso
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany Kitchen,Shinjuku Chicken Rice,42500,,0,Nasi Daging Ayam Bumbu Teriyaki Dan Telor
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany Kitchen,Ricechicken Black Pepper,42500,,0,Nasi Daging Ayam Dan Bumbu Black Pepper
Order Sekaligus - Aiola Canteen Merr,surabaya,Aneka nasi/Sate,Many Pany Kitchen,Rice Chicken Salt&Chilli,42500,,0,Nasi Daging Ayam Dan Bumbu Cabe Garam
